item_sku_id,attr_cd,attr_value_cd
971,68,2059
129,397,2751
555,397,1263
201,390,4
46,196,3084
932,492,409
171,551,1263
73,60,4051
872,552,3200
448,382,2905
344,101,3246
45,390,586
267,390,606
843,225,2793
96,371,352
723,512,2035
214,492,409
112,488,433
103,580,352
113,488,433
323,38,4776
615,15,4059
759,82,1298
700,362,1263
197,551,3196
859,488,433
828,495,1263
916,518,1263
735,68,533
656,397,2751
386,225,1263
774,567,1263
835,50,1250
39,55,4057
534,225,1230
175,541,1584
833,50,4
493,730,3854
261,390,586
227,82,1661
902,277,2416
971,50,2065
85,38,4775
249,368,3082
129,217,2607
146,82,1298
528,68,550
162,488,433
836,437,2614
367,225,268
763,541,1007
654,545,601
412,224,2273
436,225,1263
293,60,4046
293,38,2135
426,163,2525
355,488,433
400,488,433
865,770,4090
183,1,4046
873,186,478
185,492,409
491,493,2099
636,277,3481
610,492,1263
299,488,433
451,68,1263
923,726,194
669,884,4
468,492,409
457,38,2135
12,540,433
614,183,1263
84,277,4593
736,492,409
480,68,3041
997,397,3159
568,378,4179
395,488,433
443,82,1298
693,634,4
450,60,2757
351,68,4085
682,568,3237
441,884,2417
299,492,542
807,568,1263
533,488,433
771,492,409
611,50,969
62,531,1263
514,68,2059
576,82,1298
217,68,4085
669,411,4610
433,540,433
886,218,2045
760,103,3266
614,225,268
921,218,2045
728,390,1742
423,225,596
329,55,4773
377,98,141
672,765,1435
872,68,3221
773,874,4569
663,183,3258
417,68,3197
42,487,2875
708,430,4
562,252,2
323,38,4331
166,390,587
264,924,12
464,68,3101
701,479,4332
228,505,1263
876,251,2378
536,82,2698
882,493,2099
461,277,300
531,68,529
497,532,1263
420,71,2442
744,489,2946
414,580,352
398,82,2489
179,492,409
179,82,1298
938,212,2909
813,526,1263
551,386,3471
992,37,2115
901,68,2055
736,225,1263
260,492,409
295,397,2751
456,225,1263
519,739,11
139,540,433
941,346,1504
425,82,221
97,488,433
136,82,1298
417,552,1263
982,765,1435
562,275,1408
287,1,2615
881,218,2044
710,68,619
699,68,487
410,488,1228
264,1,4046
668,82,2165
593,390,586
9,513,755
607,397,2838
451,243,2283
451,346,987
451,225,268
833,530,745
282,106,59
494,505,1559
15,55,4328
526,492,540
452,390,587
324,101,914
19,163,1531
12,554,1263
367,557,3220
948,390,586
73,60,183
482,1,4046
275,277,4565
925,82,1207
291,225,1230
608,68,2572
693,277,4281
790,68,3157
204,568,3241
204,492,409
222,277,968
486,580,352
327,82,1298
182,163,1485
182,22,3892
404,225,2113
210,225,1263
829,386,3470
218,243,1263
218,368,595
668,346,987
558,492,542
658,1,1523
800,38,4053
461,38,4331
244,488,433
599,22,1263
923,551,1263
678,277,30
401,488,433
89,82,1298
25,390,1263
731,368,3082
887,437,2614
697,225,268
457,55,4327
329,55,4772
367,82,1298
319,909,1298
418,492,409
601,50,2099
51,50,4135
716,346,2848
37,550,2051
81,277,300
924,101,914
767,277,30
509,1,4046
693,163,2525
293,60,4326
188,101,190
844,492,2113
688,750,3952
56,492,409
974,225,2113
390,390,2062
60,82,1298
87,541,1007
635,277,2404
101,50,1242
131,50,4
774,488,433
658,2,148
882,495,1263
640,224,2273
590,71,1134
507,138,1263
867,55,4056
487,488,433
140,739,11
482,924,71
482,38,4777
81,55,4770
927,68,1263
988,541,3218
663,488,433
257,2,2720
56,488,433
292,751,3386
917,38,4777
655,566,1263
788,224,2273
336,224,2273
13,550,2051
870,55,4771
237,270,684
477,390,586
210,82,1298
686,37,90
130,50,4
668,397,1263
674,183,3258
534,68,3279
340,261,4599
40,730,644
726,277,494
936,71,2443
695,82,1298
61,225,1825
46,225,541
342,493,2100
34,518,1263
216,436,1485
236,277,2408
597,82,1298
212,68,487
109,217,2609
482,55,4327
831,368,1263
601,82,959
37,82,1298
22,492,409
224,730,3854
135,50,1250
911,550,2051
430,488,433
691,55,4056
136,492,410
515,55,4056
977,551,1263
747,60,4046
982,20,2119
705,390,1263
225,68,611
919,68,488
699,390,1263
884,488,433
410,152,1522
766,37,236
218,68,1982
600,565,545
133,82,1298
573,488,433
17,488,433
181,277,2407
522,22,2724
261,488,433
387,68,2053
792,563,1263
494,492,542
57,252,2
253,179,3959
632,37,299
665,488,433
999,109,1334
523,559,1263
120,60,4049
27,409,60
849,50,969
557,390,1263
894,277,1263
456,82,1209
448,163,1485
411,38,4777
582,225,410
59,68,1263
567,277,4576
730,183,613
688,50,950
832,346,2848
817,101,3246
166,495,1263
684,1,1525
828,225,268
864,545,601
536,225,1825
175,346,987
833,225,1229
834,492,409
999,210,4
523,82,1298
342,390,586
468,82,1298
614,488,433
320,585,3219
329,55,4346
953,770,1263
109,505,352
483,224,1250
988,554,1263
450,60,3859
818,225,268
817,68,1263
673,492,409
937,68,534
779,225,409
876,492,409
970,163,1485
809,390,605
609,82,1298
757,492,1263
261,82,1298
249,498,3198
797,726,194
963,374,2252
354,101,914
587,397,741
849,37,236
254,68,2072
153,189,4567
637,277,1553
691,38,4053
874,82,1298
653,372,4181
756,277,2408
112,82,1298
346,492,409
287,436,203
327,68,3261
710,554,3206
390,390,586
74,545,601
934,579,3264
622,346,1504
11,101,914
262,68,3262
665,217,2965
234,481,1298
963,37,2749
179,726,194
887,437,2613
528,535,1263
164,488,433
405,68,487
715,436,203
329,38,4775
778,202,3271
732,68,1205
901,50,2065
472,493,1263
581,552,1263
295,390,3088
311,378,4180
73,60,4049
81,277,1467
283,488,433
267,251,2380
843,225,1229
481,1,2617
561,568,1263
169,277,4600
705,492,541
817,82,2489
917,38,4774
182,212,2909
183,55,4056
183,38,4052
919,368,3082
193,22,1263
674,186,477
128,68,4350
835,50,1242
607,68,2049
993,225,268
504,390,1263
504,541,3218
303,570,3242
631,71,2442
216,43,339
740,739,2258
728,68,1263
711,277,30
967,551,3191
460,488,433
763,68,1189
109,368,3082
994,225,1263
959,488,433
949,1,2615
911,368,3082
911,82,1298
139,225,1773
509,38,4331
729,82,1298
323,55,4773
467,152,1017
68,492,2113
237,1,1128
431,390,3267
643,411,4609
273,225,1825
29,492,542
880,492,409
451,492,2113
605,179,3959
11,82,2489
776,884,4
434,505,352
647,60,183
683,262,1436
374,68,2068
619,60,4051
789,537,2071
942,163,1485
98,82,1298
731,550,1263
381,82,1298
279,22,3894
988,543,3219
122,488,433
97,82,1298
856,277,4605
231,382,493
242,495,1263
655,82,1298
449,71,1134
183,55,4770
6,878,4583
17,492,541
533,346,468
903,98,896
105,492,539
374,535,3137
315,103,152
211,82,1263
726,277,3483
798,7,33
902,210,1161
253,5,879
234,262,1437
23,68,3261
606,252,2
733,492,1263
120,38,2135
498,142,1825
528,251,2382
488,770,4090
444,82,1298
672,60,2530
681,277,3481
246,68,2053
45,50,4
509,55,4770
293,55,4055
857,68,3228
801,82,1298
759,346,1504
788,277,2431
137,277,3481
840,390,586
933,50,2065
5,22,174
900,82,2489
573,82,1298
534,82,1298
584,68,487
722,43,339
95,212,2909
993,488,433
217,101,914
105,68,3261
145,82,1298
269,82,710
555,550,1263
41,397,2838
373,60,4061
528,488,433
415,22,3892
289,397,741
736,530,1263
613,277,21
994,531,1263
187,344,2938
372,82,1298
454,38,4774
469,426,54
885,488,433
562,427,2522
604,68,4360
794,68,1166
323,1,4046
974,68,1999
710,390,3209
819,277,66
899,411,4610
396,225,268
722,237,967
776,277,2416
80,488,433
993,368,3082
50,82,699
43,277,672
458,730,3854
535,277,1486
342,82,1990
373,430,4045
552,82,4092
453,492,409
758,50,950
741,55,4327
614,82,1298
879,533,1263
256,492,409
557,225,3265
484,277,213
827,277,696
97,346,1504
334,488,433
843,397,2751
671,82,1298
877,38,2135
708,55,4328
280,368,3082
565,277,2409
917,38,4052
356,68,3281
76,397,891
349,492,409
296,82,1298
461,38,4774
451,488,433
282,378,4037
221,492,409
440,68,2054
853,277,4593
555,82,1298
398,68,4351
944,492,542
597,183,3190
624,488,433
36,1,4046
959,551,1263
490,225,1825
549,493,2099
92,225,409
654,540,433
750,568,3235
582,397,1263
582,541,3288
63,492,409
885,368,3082
615,250,2759
595,277,4597
183,55,4327
570,382,2905
76,554,1263
686,55,4054
133,346,1504
95,163,1485
965,397,741
374,488,433
821,270,683
206,71,1134
523,561,1263
986,196,1981
189,532,1263
964,82,1298
661,251,2384
634,68,2048
458,635,3492
67,495,1263
289,397,3213
36,38,4776
106,492,2113
435,68,3102
763,346,987
736,368,3082
994,68,1263
773,277,4565
707,82,1298
575,55,4056
163,765,1435
868,1,1523
677,488,433
667,82,1298
368,225,268
191,237,967
6,876,4
431,82,1298
884,68,3102
916,101,914
594,68,1986
766,103,152
138,390,1199
558,567,3231
864,492,542
899,210,1161
930,225,1263
738,488,433
981,581,1263
943,277,4593
506,82,1298
339,390,1263
758,20,2119
468,390,1065
171,82,1298
780,752,3953
958,60,3858
624,103,1496
36,924,12
316,488,433
142,60,2531
799,68,3282
377,277,1486
822,397,3159
952,890,4627
432,397,1650
81,126,4
602,2,2720
926,68,2067
568,37,2454
750,488,433
148,492,409
42,488,433
801,726,194
278,382,936
840,68,1263
884,492,409
682,488,433
441,277,4606
332,2,2720
11,68,4349
389,542,3981
83,82,1298
7,390,2062
963,60,3858
995,277,2407
740,765,1540
958,3,4193
142,60,2532
205,183,3190
482,55,4771
379,488,433
379,82,1298
301,492,1263
180,82,1298
568,105,2451
42,287,3110
616,492,409
302,60,2529
883,179,4041
103,492,539
794,101,914
183,55,4771
875,346,1504
710,82,1298
550,666,653
987,68,3261
724,378,2539
880,82,2134
77,488,433
461,126,4
175,217,2603
522,378,4180
277,495,1263
217,492,409
619,55,4328
83,488,433
824,726,194
419,368,595
741,55,4056
697,82,1298
329,55,4056
432,488,433
290,666,653
392,243,882
602,68,4024
773,189,4566
582,585,3161
314,368,3082
657,492,409
693,635,3492
575,38,4052
280,495,1263
250,224,1250
225,225,268
596,390,1263
173,580,352
974,116,1032
404,346,987
404,82,959
312,186,1263
218,488,433
90,68,806
9,225,1263
584,390,1212
622,551,1263
607,217,1263
64,225,1263
792,492,409
726,277,4684
57,765,1540
85,38,4052
23,488,433
196,567,1263
564,68,1263
487,50,4
869,495,1263
279,382,2906
75,22,382
435,488,433
205,82,1298
37,368,3082
988,368,3082
139,68,621
709,225,268
231,212,2909
676,225,409
801,492,409
292,386,3473
475,163,2525
542,751,4039
970,634,4
62,50,594
965,560,1263
406,726,194
647,60,68
792,225,268
506,68,2031
127,82,1298
991,101,914
886,82,1298
758,751,3469
141,68,3101
381,225,268
473,346,1504
295,225,268
254,488,433
959,726,194
432,368,1263
568,37,2115
509,38,4777
293,55,4329
885,726,194
580,368,3082
242,488,433
596,492,2113
477,492,409
684,1,1524
724,750,3951
589,22,174
674,82,1298
746,492,409
317,68,554
664,109,1334
640,666,653
494,541,1584
645,277,4574
190,488,433
497,183,613
83,183,614
797,346,1504
661,488,433
15,38,4053
339,225,268
171,550,1263
755,382,4282
731,492,2113
67,492,1263
896,71,1134
36,277,300
563,98,4
732,82,699
367,540,433
980,633,644
997,541,3158
153,277,4565
490,101,3246
163,277,494
883,2,148
323,126,4045
278,449,3788
93,390,586
659,103,151
727,38,4052
800,55,4329
559,368,3082
271,126,4058
234,488,433
7,82,1298
144,82,1661
489,726,194
528,225,409
162,225,268
740,17,98
36,126,4058
525,68,2025
473,492,409
482,1,4326
808,545,601
912,390,588
454,38,4052
411,38,4775
582,390,586
925,390,1199
663,82,1298
63,368,3082
32,566,2027
304,390,2185
698,368,595
897,277,4574
713,277,30
137,277,66
884,183,614
724,64,3947
878,565,545
833,82,1298
923,82,1298
591,183,614
523,397,741
41,492,541
120,60,4061
741,55,4773
19,22,3892
583,38,4052
947,225,1263
921,390,606
329,277,300
361,430,227
205,551,1263
109,541,1007
149,225,1230
482,38,4775
585,875,4570
601,225,2113
924,518,1263
654,548,3187
748,277,2538
657,551,531
293,60,4061
214,101,914
977,225,1230
200,488,1228
688,5,2904
191,437,2613
183,277,183
919,726,194
956,25,1559
610,68,3225
694,60,2529
882,492,410
434,493,2101
306,488,433
975,82,1298
814,397,2838
520,183,4555
271,55,4327
506,568,1263
976,765,1431
15,55,4056
99,368,3082
171,368,3082
741,924,71
19,382,2905
614,495,1263
329,924,12
587,68,2788
778,1,906
409,492,2113
73,430,228
375,568,3241
997,543,3161
379,726,1263
393,142,1825
200,50,2099
954,570,2104
112,584,597
32,488,433
346,68,1263
652,874,4569
652,189,4
544,488,433
865,82,1263
364,368,3082
699,495,1263
839,408,1497
724,179,3960
471,277,47
248,225,1263
882,585,3219
62,488,433
413,437,4
514,488,433
965,554,3206
326,550,3189
647,60,4051
619,55,4056
253,750,3952
85,126,228
665,492,2113
206,666,1263
999,885,4
526,68,3261
146,488,433
25,82,1298
963,732,3860
111,390,1263
731,225,268
123,101,914
405,225,1263
777,390,4
423,82,1298
16,38,4053
256,68,3178
311,372,4181
403,553,3207
124,368,3082
925,492,2113
515,60,4326
96,518,1263
438,488,433
671,551,1263
562,275,1407
580,346,1342
304,68,1205
327,488,433
182,382,2905
173,579,3264
828,550,1263
543,55,4054
464,218,2044
299,346,1912
340,277,4597
768,730,3854
211,565,1263
981,82,1298
15,55,4055
847,37,236
373,38,2135
120,38,4047
319,492,2113
539,368,3082
254,726,194
293,60,1468
653,37,2454
575,60,68
832,488,433
759,488,433
449,277,668
461,38,4776
175,493,1263
70,68,4084
768,277,4684
798,142,145
157,225,268
964,390,2062
452,492,409
99,488,433
551,64,3949
446,492,409
907,101,3246
319,152,667
799,82,1298
295,540,433
681,730,3854
226,765,1435
808,540,433
454,55,4327
403,556,3212
469,6,29
826,277,2406
750,82,1298
721,552,1263
612,21,737
368,492,409
173,492,409
633,411,4609
263,492,409
594,368,595
138,218,2043
593,488,433
666,571,1263
607,505,352
607,397,1504
833,68,2053
406,488,433
116,225,1263
14,492,2113
416,225,268
618,82,1298
588,368,3082
718,68,2053
796,277,4576
171,726,194
551,68,4024
675,492,409
675,251,2380
454,1,4046
224,277,4281
549,82,959
314,390,3210
691,55,4055
421,346,987
843,68,619
575,38,4047
671,390,1066
481,237,967
708,38,4047
688,386,3470
562,845,4572
263,50,4
431,488,433
410,481,1098
643,210,1162
593,368,3082
49,68,2024
792,82,699
619,60,1468
14,390,1263
83,492,409
797,82,1298
945,50,1250
398,101,914
123,492,409
162,82,1298
20,492,409
380,37,13
409,225,268
78,82,1988
187,225,410
73,38,4053
905,277,4606
924,225,1825
417,82,1263
118,98,896
569,566,2029
229,488,433
350,82,2489
495,277,4597
598,390,586
987,488,433
543,37,90
679,277,494
358,277,4604
39,60,4046
809,535,3139
305,429,53
617,718,4696
294,60,183
683,344,2937
504,397,1263
105,580,352
591,225,268
269,225,409
497,225,1263
744,487,2943
129,346,468
797,492,2113
797,225,268
219,386,3470
457,1,4046
614,390,1263
20,101,914
371,492,2113
557,492,409
948,68,4646
578,570,1263
822,492,410
585,872,44
872,558,3217
716,550,2051
808,548,3187
397,277,4576
483,71,1840
988,397,891
612,163,1485
621,277,676
302,60,2530
561,571,1263
400,68,2024
304,515,3081
698,492,409
158,163,2525
35,277,30
655,492,542
6,879,4584
390,68,1263
263,225,1263
752,390,1263
659,50,1242
264,277,300
714,225,1229
605,2,2720
617,488,1228
928,765,1435
234,489,2949
719,37,90
719,430,228
308,225,1825
986,225,268
52,488,433
823,225,1825
12,68,621
921,536,1263
623,409,2415
36,55,4770
78,488,1228
527,397,1249
949,436,1485
737,488,433
646,82,1298
139,561,1263
602,751,3386
411,924,71
97,726,194
59,225,268
267,495,1263
280,68,487
475,765,1435
682,82,1298
235,82,1298
584,488,433
396,390,1263
352,224,894
434,585,3219
241,488,433
989,492,2113
640,71,1134
783,277,3482
915,68,3226
198,68,1263
394,82,1298
240,277,4588
373,60,4326
196,571,1263
123,225,1825
947,82,1298
320,346,1912
20,82,4092
967,550,2051
953,101,914
512,37,4
578,571,1263
957,277,4574
527,225,1230
602,3,4752
602,386,3473
91,22,3893
575,60,4051
335,50,969
688,64,2836
710,397,741
752,368,3082
235,68,3228
701,98,330
835,103,152
385,68,589
294,430,228
440,488,433
271,1,4326
23,580,352
789,183,1263
719,21,736
129,397,1504
15,38,2135
507,225,4
52,225,1263
